代號,股票,股價,漲跌,0%,開盤,最高,最低,昨收,成交量,離季線%,新高/低, , 
1436,華友聯,46.8,▼1.50,-3.11%,48.35,48.35,46.2,48.3,99,-2.40%,創新低,下單,追蹤
1442,名軒,35.55,▲0.85,0.0245,34.8,36.2,34.7,34.7,"1,739",2.80%,2 日,下單,追蹤
1805,寶徠,12.9,▲0.05,0.0039,12.9,12.9,12.8,12.85,23,0.80%,1 日,下單,追蹤
1808,潤隆,28.45,▼0.05,-0.18%,28.55,28.8,28.25,28.5,179,-3.90%,-45 日,下單,追蹤
2501,國建,17.9,▲0.10,0.0056,17.8,18.1,17.8,17.8,"2,922",0.90%,創新高,下單,追蹤
2504,國產,10.45,▼0.05,-0.48%,10.5,10.5,10.4,10.5,"2,070",-2.80%,-27 日,下單,追蹤
2505,國揚,14.45,0,0.00%,14.45,14.75,14.4,14.45,"1,290",-5.60%,-10 日,下單,追蹤
2506,太設,9.78,▲0.08,0.0082,9.76,9.82,9.68,9.7,416,2.80%,4 日,下單,追蹤
2509,全坤建,24.9,▼0.10,-0.40%,25,25.1,24.85,25,175,-3.30%,-45 日,下單,追蹤
2511,太子,13.25,▼0.05,-0.38%,13.35,13.4,13.2,13.3,"3,947",-7.50%,創新低,下單,追蹤
2515,中工,8.15,▲0.12,0.0149,8.03,8.15,8.03,8.03,"6,515",1.20%,創新高,下單,追蹤
2516,新建,8.2,0,0.00%,8.2,8.25,8.19,8.2,412,2.30%,2 日,下單,追蹤
2520,冠德,28.1,▼0.45,-1.58%,28.65,28.65,28,28.55,"2,702",-9.20%,創新低,下單,追蹤
2524,京城,24.55,▼0.05,-0.20%,24.7,24.8,24.5,24.6,111,-2.90%,-45 日,下單,追蹤
2527,宏璟,16.25,▼0.05,-0.31%,16.5,16.6,16.2,16.3,152,-1.10%,-1 日,下單,追蹤
2528,皇普,13.85,▼0.25,-1.77%,14,14,13.85,14.1,15,-4.60%,-10 日,下單,追蹤
2530,華建,14.55,0,0.00%,14.35,14.6,14.35,14.55,649,-8.20%,-1 日,下單,追蹤
2534,宏盛,20.25,▼0.15,-0.74%,20.5,20.6,20.2,20.4,765,-0.20%,創新低,下單,追蹤
2535,達欣工,27.2,▼0.15,-0.55%,27.4,27.45,27.15,27.35,345,-3.20%,-13 日,下單,追蹤
2536,宏普,24.6,▼0.05,-0.20%,24.6,24.7,24.5,24.65,243,-7.60%,創新低,下單,追蹤
2537,聯上發,13.2,▼0.15,-1.12%,13.4,13.4,13.2,13.35,373,-4.70%,-45 日,下單,追蹤
2538,基泰,20.75,0,0.00%,20.8,20.85,20.65,20.75,939,-1.30%,創新低,下單,追蹤
2539,櫻花建,39.6,▼0.10,-0.25%,39.6,39.7,39.6,39.7,19,1.10%,3 日,下單,追蹤
2542,興富發,65.8,▼0.70,-1.05%,66.5,66.7,65.6,66.5,"1,365",-3.50%,創新低,下單,追蹤
2543,皇昌,9.03,▼0.44,-4.65%,9.02,9.41,9,9.47,476,4.40%,2 日,下單,追蹤
2545,皇翔,45.3,▼0.55,-1.20%,45.95,45.95,45.15,45.85,403,-4.00%,-45 日,下單,追蹤
2546,根基,17.65,▼0.05,-0.28%,17.7,17.75,17.65,17.7,178,2.70%,2 日,下單,追蹤
2547,日勝生,20.8,▼0.10,-0.48%,21,21,20.8,20.9,"1,730",-10.80%,-7 日,下單,追蹤
2548,華固,72.2,▲0.10,0.0014,72.6,72.6,71.9,72.1,630,-3.20%,-14 日,下單,追蹤
2597,潤弘,64.4,▼1.80,-2.72%,66.2,66.2,64,66.2,331,-9.70%,創新低,下單,追蹤
2841,台開,11.2,▼0.10,-0.88%,11.3,11.35,11.2,11.3,"1,440",0.10%,創新低,下單,追蹤
2923,F-鼎固,26.1,▼0.10,-0.38%,26.15,26.15,25.4,26.2,298,10.60%,5 日,下單,追蹤
3056,總太,22.3,▼0.10,-0.45%,22.45,22.5,22.2,22.4,461,-16.20%,-5 日,下單,追蹤
3703,欣陸,11.55,▼0.05,-0.43%,11.6,11.65,11.5,11.6,878,0.30%,35 日,下單,追蹤
5515,建國,13.4,0,0.00%,13.4,13.5,13.4,13.4,750,-1.80%,-22 日,下單,追蹤
5521,工信,13.35,0,0.00%,13.35,13.55,13.35,13.35,"1,074",-1.80%,-8 日,下單,追蹤
5522,遠雄,41.25,▼0.40,-0.96%,41.7,41.8,40.8,41.65,"1,908",-13.00%,-3 日,下單,追蹤
5525,順天,20.6,▲0.05,0.0024,20.5,20.6,20.45,20.55,61,2.30%,17 日,下單,追蹤
5531,鄉林,26.25,▼0.35,-1.32%,26.6,26.65,26.15,26.6,757,4.10%,2 日,下單,追蹤
5533,皇鼎,19.15,▲0.05,0.0026,19.1,19.2,19.1,19.1,360,0.90%,創新高,下單,追蹤
5534,長虹,77.6,▼0.50,-0.64%,78,78.6,77.6,78.1,"1,071",-8.20%,創新低,下單,追蹤